,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
17985,5.47e+17,within an hour,1.0,0.95,True,0,True,True,Miguel Hidalgo,19.44705,-99.20225,Shared room,1,1.5,1.0,1.0,205.0,1,15,359,11,11,5.0,5.0,4.91,5.0,5.0,4.73,5.0,True,7,2.34
18035,5.54e+17,within an hour,1.0,0.84,False,0,True,True,Miguel Hidalgo,19.403,-99.17579,Shared room,1,1.0,1.0,1.0,298.0,1,7,364,10,10,4.4,4.2,3.9,3.9,4.2,4.6,3.8,False,1,2.63
18135,5.57e+17,unknown,0.0,0.0,False,0,False,True,Tlalpan,19.29762,-99.22793,Shared room,4,1.0,1.0,2.0,1100.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
18141,5.57e+17,within an hour,1.0,0.9,False,0,True,True,Benito JuÃ¡rez,19.38245,-99.17733,Shared room,16,7.0,1.0,8.0,227.0,1,365,365,6,6,4.83,4.83,4.33,4.83,4.67,5.0,4.5,True,4,1.54
18376,5.68e+17,within an hour,1.0,1.0,False,1,True,True,Iztacalco,19.41128,-99.06598,Shared room,2,1.0,1.0,3.0,750.0,1,1125,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,0.32
18486,5.69e+17,unknown,0.0,0.0,False,0,True,True,CuauhtÃ©moc,19.4062,-99.14475,Shared room,2,1.5,1.0,1.0,28000.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
18583,5.75e+17,within a day,0.77,0.83,False,6,True,False,Venustiano Carranza,19.409782,-99.082001,Shared room,1,1.0,1.0,5.0,350.0,1,365,359,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.77
18672,5.77e+17,within an hour,0.97,0.99,True,14,True,False,Ãlvaro ObregÃ³n,19.35192,-99.19322,Shared room,1,1.0,1.0,1.0,300.0,7,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,17,0.0
18681,5.77e+17,within an hour,0.97,0.99,True,14,True,False,Ãlvaro ObregÃ³n,19.35194,-99.19272,Shared room,1,1.0,1.0,1.0,300.0,7,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,17,1.0
18682,5.77e+17,within an hour,0.97,0.99,True,14,True,False,Ãlvaro ObregÃ³n,19.35348,-99.1933,Shared room,1,1.0,1.0,1.0,300.0,7,365,365,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,17,0.34
