,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
7778,35353642.0,unknown,0.0,1.0,False,1,True,True,CuauhtÃ©moc,19.43223,-99.14266,Hotel room,3,1.0,1.0,1.0,900.0,1,30,242,2,0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,True,1,0.06
7856,35605936.0,within a few hours,0.88,0.6,False,10,True,True,CuauhtÃ©moc,19.40751,-99.17531,Hotel room,2,1.0,1.0,1.0,1100.0,1,30,349,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,10,0.0
7858,35606585.0,within a few hours,0.88,0.6,False,10,True,True,CuauhtÃ©moc,19.40754,-99.17561,Hotel room,3,1.0,1.0,2.0,1250.0,1,30,350,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,10,0.0
7861,35834401.0,within an hour,1.0,1.0,False,7,True,True,Miguel Hidalgo,19.42852,-99.18782,Hotel room,4,1.0,2.0,3.0,2155.0,1,1125,352,26,22,4.5,4.54,4.5,4.62,4.31,4.96,4.5,True,5,2.01
7889,35617592.0,within an hour,1.0,0.98,False,5,True,True,CuauhtÃ©moc,19.40391,-99.16062,Hotel room,1,1.0,1.0,1.0,300.0,1,1125,365,50,11,4.8,4.88,4.72,4.94,4.9,4.9,4.76,True,6,1.37
7914,35677895.0,within a few hours,0.88,0.6,False,10,True,True,CuauhtÃ©moc,19.40899,-99.17353,Hotel room,3,1.0,1.0,2.0,1250.0,1,30,344,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.03
7931,35709914.0,within a few hours,0.88,0.6,False,10,True,True,CuauhtÃ©moc,19.40749,-99.17561,Hotel room,2,1.0,1.0,1.0,1100.0,1,30,346,1,0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,True,10,0.03
7942,35715294.0,unknown,0.0,0.0,False,1,True,True,Ãlvaro ObregÃ³n,19.38343,-99.19814,Hotel room,4,1.0,1.0,2.0,852.0,2,1125,42,1,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,False,1,0.03
7951,35941537.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,2970.0,1,1125,83,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,7,0.0
7952,35941860.0,within an hour,1.0,1.0,True,7,True,True,CuauhtÃ©moc,19.43333,-99.13457,Hotel room,2,1.0,1.0,1.0,3570.0,1,1125,336,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,7,0.0
