ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
31121853,within a day,1,1,FALSE,True ,False ,1,Santiago,-33.44665,-70.64945,Entire home/apt,1,1,1,1,9000.00,20,20,365,1,1,1,1,1,1,1,1,1,True ,1,0.24
30697213,Unknown,NaN,NaN,FALSE,True ,True ,2,Providencia,-33.43525,-70.60364,Entire home/apt,4,2,2,2,60000.00,3,1125,0,46,0,4.98,5,4.87,5,4.98,4.98,4.91,False ,1,1.08
30715162,within a few hours,0.83,0,FALSE,True ,True ,1,Quilicura,-33.36686,-70.72492,Private room,1,1,1,1,15107.00,1,1125,89,0,0,,,,,,,,True ,1,
31123435,Unknown,NaN,1,FALSE,True ,False ,2,Providencia,-33.42707,-70.608,Private room,2,1,1,2,20419.00,2,60,203,4,4,5,5,5,5,5,5,5,True ,1,0.55
30724040,Unknown,NaN,NaN,FALSE,True ,True ,2,Santiago,-33.44808,-70.63937,Entire home/apt,4,2,2,3,22000.00,30,1125,165,0,0,,,,,,,,True ,2,
30726199,within an hour,1,1,FALSE,True ,True ,5,Providencia,-33.42352,-70.6018,Entire home/apt,5,1,2,3,45000.00,2,1125,168,15,11,4.4,4.93,4,4.87,4.8,5,4.33,True ,5,0.36
29410015,a few days or more,0,NaN,FALSE,True ,True ,1,Vitacura,-33.38445,-70.55861,Entire home/apt,7,3.5,4,4,55000.00,210,365,365,0,0,,,,,,,,True ,1,
29414519,within an hour,1,0.84,FALSE,True ,True ,2,Las Condes,-33.40215,-70.57759,Private room,6,2,2,5,150000.00,3,1125,343,4,2,5,5,5,5,5,5,5,True ,1,0.15
29417754,a few days or more,0,0,FALSE,True ,True ,3,Providencia,-33.43756,-70.6338,Entire home/apt,4,2,2,4,55000.00,3,30,359,2,0,5,5,4.5,5,5,5,5,False ,1,0.05
31137555,Unknown,NaN,NaN,FALSE,True ,False ,1,Santiago,-33.43916,-70.65756,Private room,1,1,1,1,24000.00,5,180,83,0,0,,,,,,,,True ,1,
31139794,within a day,1,1,FALSE,True ,False ,1,Huechuraba,-33.39549,-70.6186,Private room,1,1.5,1,1,50000.00,1,30,365,11,3,5,4.91,4.91,5,5,5,4.91,False ,1,0.29
31140320,a few days or more,0,NaN,FALSE,True ,False ,1,Ñuñoa,-33.43687,-70.58134,Private room,1,1,1,1,9000.00,90,1125,365,0,0,,,,,,,,True ,1,
30729968,within an hour,1,0.94,FALSE,True ,True ,2,Providencia,-33.443,-70.62832,Entire home/apt,3,1,2,3,90000.00,3,15,73,1,0,5,5,4,5,5,5,4,True ,1,0.02
31140525,Unknown,NaN,NaN,FALSE,True ,True ,2,Santiago,-33.43821,-70.64743,Private room,2,1,1,1,32000.00,7,30,363,0,0,,,,,,,,True ,2,
30730023,a few days or more,0,1,FALSE,True ,False ,2,Ñuñoa,-33.46074,-70.61792,Private room,1,1,1,1,15000.00,1,1125,0,18,0,5,5,5,5,5,4.94,4.89,True ,2,0.43
30733187,a few days or more,0,1,FALSE,True ,False ,2,Ñuñoa,-33.46065,-70.61827,Private room,1,1,1,1,25000.00,1,1125,1,10,0,5,4.8,4.9,5,4.8,4.9,5,True ,2,0.24
29434150,within an hour,1,0.95,True ,True ,True ,1,Santiago,-33.43692,-70.65763,Entire home/apt,2,1,1,1,35000.00,3,1125,153,111,29,4.99,5,4.96,4.98,4.99,4.96,4.97,True ,1,2.51
29434536,within a few hours,0.9,1,True ,True ,True ,7,Santiago,-33.43812,-70.6679,Private room,4,6,1,3,30819.00,1,28,365,2,0,3.5,4,2.5,5,5,4.5,3,True ,7,0.05
29435140,a few days or more,0.33,NaN,FALSE,True ,False ,2,Recoleta,-33.3918,-70.63647,Entire home/apt,4,1,2,4,21000.00,7,1125,49,8,0,4.75,4.88,4.63,5,4.88,4.38,4.5,False ,2,0.18
31140669,a few days or more,0.13,0.33,FALSE,True ,True ,1,Las Condes,-33.40393,-70.55579,Entire home/apt,2,1,1,1,43623.00,1,1125,91,10,0,4.11,4.11,3.11,4.67,4.44,4.89,4.33,True ,1,0.26
31157213,within a few hours,1,1,True ,True ,False ,1,Las Condes,-33.41054,-70.56568,Private room,1,1.5,1,1,21429.00,1,1125,221,15,12,4.87,4.87,4.93,5,4.93,5,4.73,True ,5,0.39
29441067,within an hour,1,0.95,FALSE,True ,True ,3,Santiago,-33.43893,-70.67573,Entire home/apt,3,1,1,1,15829.00,3,1125,0,68,0,4.75,4.72,4.84,4.97,4.88,4.6,4.82,True ,3,1.57
29454916,within a few hours,1,0.75,FALSE,True ,False ,2,Estación Central,-33.45295,-70.68451,Private room,1,1,,1,20000.00,2,1125,178,4,3,5,5,5,5,5,5,5,False ,1,0.09
