,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
4999,39714573.0,Unknown,0.0,0.0,False,True,False,0,Santiago,-33.44409,-70.64288,Entire home/apt,3,1.5,2.0,2.0,800000,2.0,50.0,172,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0.0
5000,39718490.0,within a day,0.81,0.77,False,True,True,7,Providencia,-33.42693,-70.61223,Entire home/apt,2,1.0,1.0,1.0,35000,5.0,30.0,351,22.0,10,4.59,4.68,4.59,4.86,4.73,4.91,4.73,False,6,0.75
5001,39722827.0,within a day,0.5,0.0,False,True,True,3,Providencia,-33.44658,-70.61253,Private room,1,1.0,1.0,1.0,20000,2.0,5.0,177,2.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,3,0.06
5002,39726176.0,within an hour,0.97,0.82,False,True,False,13,Ñuñoa,-33.45187,-70.61928,Private room,2,2.0,1.0,2.0,20500,4.0,15.0,237,4.0,1,4.75,4.75,4.75,5.0,5.0,5.0,5.0,False,10,0.13
5003,40265298.0,a few days or more,0.0,0.0,False,True,True,1,Ñuñoa,-33.44931,-70.58048,Private room,2,1.0,1.0,1.0,20000,2.0,365.0,364,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5004,40278508.0,within an hour,1.0,0.95,True,True,True,1,Providencia,-33.43721,-70.61868,Private room,2,1.0,1.0,1.0,28286,1.0,10.0,349,99.0,73,4.9,4.94,4.9,4.93,4.9,4.92,4.87,False,3,3.24
5005,40604380.0,within an hour,1.0,0.78,False,True,True,1,Providencia,-33.42123,-70.61181,Entire home/apt,4,2.0,2.0,3.0,65000,2.0,30.0,328,11.0,7,4.45,4.55,4.82,4.73,4.73,5.0,4.45,False,3,0.53
5006,40606816.0,within an hour,0.99,0.88,False,True,True,37,Vitacura,-33.38243,-70.53341,Entire home/apt,4,1.0,1.0,2.0,60000,2.0,60.0,262,40.0,19,4.78,4.88,4.9,4.93,4.9,4.95,4.68,False,21,1.3
5007,40606967.0,within an hour,1.0,0.97,False,True,True,3,Las Condes,-33.41351,-70.58557,Entire home/apt,4,2.0,2.0,3.0,80000,6.0,30.0,26,11.0,4,4.64,4.64,4.55,4.82,5.0,4.91,4.45,True,2,0.36
5008,40279835.0,Unknown,0.0,0.0,False,True,False,0,Huechuraba,-33.3658,-70.6702,Entire home/apt,4,2.5,2.0,2.0,60000,3.0,90.0,0,3.0,0,5.0,5.0,4.67,5.0,5.0,5.0,5.0,True,1,0.1
5009,40281024.0,within a day,0.5,0.92,False,True,True,5,Santiago,-33.43388,-70.64446,Private room,2,1.0,1.0,1.0,65000,1.0,28.0,294,6.0,1,4.5,4.17,5.0,4.5,4.83,4.5,4.67,True,5,0.19
5010,40283050.0,within an hour,1.0,0.95,True,True,True,2,Las Condes,-33.38287,-70.53058,Entire home/apt,3,1.0,1.0,3.0,62000,3.0,30.0,355,16.0,8,4.63,4.75,4.94,4.81,4.56,4.75,4.69,False,4,0.54
5011,39741012.0,Unknown,0.0,0.0,False,True,True,1,Santiago,-33.43475,-70.64809,Entire home/apt,4,1.0,1.0,2.0,18000,1.0,30.0,172,0.0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0.0
5012,39747156.0,within a few hours,0.68,0.81,False,True,True,3,Las Condes,-33.40518,-70.57389,Private room,1,1.0,1.0,1.0,22000,4.0,30.0,350,9.0,5,4.56,4.56,4.56,4.56,4.56,4.56,4.56,True,3,0.31
5013,39750647.0,within an hour,1.0,0.96,True,True,True,0,Santiago,-33.44178,-70.67384,Entire home/apt,2,1.0,1.0,1.0,24000,5.0,60.0,330,28.0,17,4.93,4.96,4.93,4.93,5.0,4.85,4.7,True,4,0.89
5014,40607360.0,within an hour,1.0,1.0,True,True,True,4,La Reina,-33.4416,-70.54109,Entire home/apt,7,4.0,5.0,5.0,162000,2.0,30.0,0,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,4,0.03
