VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
3950,32491431,within a day,1,0,False,True,False,1,Providencia,-33.43123,-70.61957,Shared room,1,1,1,1,15000,1,3,179,1,0,5,5,5,5,5,5,5,False,1,0.04
4053,33847870,a few days or more,0,0.5,False,True,False,1,Independencia,-33.41859,-70.6589,Shared room,1,1,1,1,9000,1,6,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4074,33900428,within a few hours,0.9,0.63,False,True,True,2,San Miguel,-33.48924,-70.65643,Shared room,3,2,1,3,25423,1,30,354,4,0,4.75,5,4.5,5,5,5,4.5,True,1,0.1
4100,33940493,within an hour,1,1,False,True,False,1,Santiago,-33.44942,-70.63617,Shared room,2,1,1,2,25000,1,5,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4167,34534456,a few days or more,0,0,False,True,False,1,La Cisterna,-33.52578,-70.66071,Shared room,1,1,1,1,6900,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
4233,35276833,within an hour,1,0.79,False,True,True,1,Santiago,-33.44732,-70.6405,Shared room,2,1,1,1,12673,1,10,365,6,6,5,5,5,5,5,5,5,False,1,0.95
4321,35497964,Unknown,0,0,False,True,False,1,Quinta Normal,-33.41077,-70.71908,Shared room,2,1,1,2,27845,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4326,35881704,Unknown,0,0,False,True,True,2,Santiago,-33.44218,-70.66576,Shared room,8,2,1,8,8805,3,14,90,1,0,3,3,4,5,3,4,3,False,2,0.03
4368,35095971,a few days or more,0,0,False,True,False,1,Santiago,-33.43585,-70.64143,Shared room,1,1,1,1,9000,1,2,180,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
4400,36084022,within an hour,1,1,False,True,False,1,Independencia,-33.42519,-70.6553,Shared room,1,1,1,1,15000,1,3,365,1,1,1,1,1,1,1,1,1,False,1,1
