VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
995,12454405,a few days or more,0,0,False,True,True,1,Ñuñoa,-33.45755,-70.5757,Entire home/apt,4,1,2,4,57235,5,5,362,5,0,4.5,5,4.75,4.25,4.75,5,4.75,False,1,0.07
998,12471674,within an hour,1,0.61,True,True,True,3,Santiago,-33.44359,-70.65736,Entire home/apt,3,3,1,1,34785,1,365,325,293,65,4.91,4.94,4.84,4.97,4.99,4.94,4.85,False,3,4.08
1003,11190094,a few days or more,0,1,False,True,True,1,Lo Barnechea,-33.3224,-70.25344,Entire home/apt,10,1,3,9,315000,3,30,365,8,1,4.38,4.63,3.75,4.5,4.38,4.63,3.88,True,1,0.11
1005,12504833,within an hour,0.94,1,False,True,True,5,Santiago,-33.45067,-70.65663,Entire home/apt,2,5,1,1,19372,30,31,172,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,6,0
1007,12505573,within an hour,1,0.95,False,True,True,12,Santiago,-33.43706,-70.64787,Entire home/apt,4,12,2,2,53571,2,30,180,15,6,4.27,4.33,4.2,4.6,4.33,4.73,4.13,True,10,0.42
1010,11197074,Unknown,0,0,False,True,True,1,Estación Central,-33.45357,-70.69467,Entire home/apt,3,1,1,1,44027,3,15,359,1,0,5,5,4,5,5,4,4,False,1,0.02
1012,11200213,Unknown,0,0,False,True,False,1,Renca,-33.40114,-70.70375,Entire home/apt,1,1,1,1,35000,5,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1014,11758630,within an hour,0.97,1,False,True,True,26,Las Condes,-33.41612,-70.60177,Entire home/apt,4,26,1,1,53280,1,30,310,94,36,4.4,4.7,4.48,4.77,4.79,4.94,4.39,True,25,1.23
1020,11810960,within an hour,0.96,1,True,True,True,7,Santiago,-33.44472,-70.643,Entire home/apt,2,7,1,1,35000,1,60,323,49,6,4.92,4.96,4.96,4.98,4.98,4.92,5,True,6,0.65
1023,12536014,within an hour,1,1,False,True,True,1,Lo Barnechea,-33.33437,-70.28894,Entire home/apt,5,1,2,3,180000,4,30,98,34,2,4.97,4.91,4.91,5,5,5,4.59,False,2,0.47
