,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
15697,8501192.0,unknown,0.0,0.96,False,1.0,True,True,Ipanema,-22.98454,-43.2001,Hotel room,4,2.0,2.0,3.0,597,2,1125,0,194,17,4.88,4.89,4.84,4.99,4.98,4.99,4.79,False,1,2.36
16098,43148322.0,unknown,0.0,0.0,False,0.0,True,True,Barra da Tijuca,-23.00065,-43.41907,Hotel room,0,2.0,2.0,0.0,0,1,365,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
16220,28455469.0,within a day,0.9,0.46,False,4.0,True,False,Copacabana,-22.98173,-43.19644,Hotel room,2,1.0,1.0,1.0,365,1,1125,85,20,2,4.73,4.8,4.87,4.67,4.67,4.13,4.73,False,4,0.44
17064,43148433.0,unknown,0.0,0.0,False,0.0,True,True,Copacabana,-22.97081,-43.18915,Hotel room,0,2.0,2.0,0.0,0,2,365,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
17238,27750790.0,within a few hours,1.0,0.99,False,7.0,True,True,Barra da Tijuca,-23.00868,-43.35548,Hotel room,2,1.0,1.0,1.0,498,2,1125,232,25,1,4.88,4.92,4.92,4.96,4.92,5.0,4.84,True,6,0.53
17607,29094612.0,within a day,0.9,0.46,False,4.0,True,False,Copacabana,-22.98325,-43.19492,Hotel room,2,1.0,1.0,1.0,365,1,1125,88,9,3,4.78,4.44,4.89,5.0,4.78,4.44,4.56,False,4,0.2
18649,27546722.0,within an hour,1.0,1.0,False,6.0,True,True,EstÃ¡cio,-22.91614,-43.20852,Hotel room,2,2.0,1.0,1.0,176,1,1125,0,9,1,4.22,4.11,4.22,4.89,4.78,4.11,4.22,True,6,0.23
18650,9323641.0,within an hour,1.0,1.0,False,6.0,True,True,EstÃ¡cio,-22.91474,-43.2086,Hotel room,1,2.0,1.0,4.0,71,4,1125,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,6,0.0
18703,452500.0,within an hour,1.0,1.0,False,6.0,True,True,EstÃ¡cio,-22.91488,-43.2093,Hotel room,1,3.0,1.0,1.0,65,1,30,0,6,1,4.17,4.17,4.5,4.17,4.5,4.33,4.33,True,6,0.07
19327,30753217.0,within an hour,1.0,1.0,False,2.0,True,True,Taquara,-22.94293,-43.37137,Hotel room,2,1.0,1.0,1.0,160,3,1125,170,25,5,4.68,4.72,4.6,4.88,4.84,4.8,4.76,True,2,0.59
19590,13427108.0,within a day,1.0,0.75,False,1.0,True,True,Vargem Pequena,-22.97666,-43.45912,Hotel room,16,2.5,5.0,41.0,65,1,1125,361,7,2,4.57,4.86,4.86,4.86,5.0,4.29,4.86,False,4,0.12
19775,38315134.0,within an hour,1.0,1.0,False,6.0,True,True,EstÃ¡cio,-22.91635,-43.20712,Hotel room,2,2.0,1.0,2.0,176,1,1125,0,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,6,0.0
20134,28915193.0,a few days or more,0.33,1.0,False,6.0,True,False,Gamboa,-22.89888,-43.18959,Hotel room,4,1.0,1.0,4.0,334,1,1125,72,42,0,4.48,4.81,4.64,4.81,4.74,3.71,4.55,True,2,0.94
20184,35602213.0,within an hour,1.0,0.99,False,4.0,True,True,Centro,-22.912781,-43.191109,Hotel room,3,1.0,1.0,3.0,294,1,1125,344,5,5,4.6,4.6,4.4,4.6,4.6,4.2,4.4,True,4,0.47
20210,35602220.0,within an hour,1.0,0.99,False,4.0,True,True,Centro,-22.91195,-43.19048,Hotel room,4,1.0,1.0,3.0,370,1,1125,344,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,4,0.0
20476,29907291.0,within an hour,1.0,0.97,True,1.0,True,True,Leblon,-22.98433,-43.22156,Hotel room,4,1.0,1.0,2.0,440,3,90,162,33,10,4.76,4.91,4.82,5.0,4.88,5.0,4.73,True,1,0.78
20565,22489545.0,within a few hours,0.71,0.79,False,1.0,True,True,Ipanema,-22.98653,-43.19917,Hotel room,4,2.0,2.0,4.0,686,3,30,173,43,5,4.88,4.98,4.66,4.98,4.83,4.98,4.83,False,1,0.79
21250,28460608.0,within a day,0.9,0.46,False,4.0,True,False,Copacabana,-22.98199,-43.19662,Hotel room,2,1.0,1.0,1.0,365,1,1125,83,13,4,4.42,4.33,4.33,4.67,4.42,4.42,4.33,False,4,0.43
21625,45636785.0,within an hour,1.0,0.96,False,9.0,True,True,Copacabana,-22.9801,-43.19002,Hotel room,0,2.0,2.0,0.0,0,1,28,0,211,120,4.53,4.58,4.56,4.61,4.55,4.91,4.59,False,2,11.36
23526,45736870.0,within an hour,1.0,0.96,False,9.0,True,True,Copacabana,-22.97905,-43.19103,Hotel room,2,1.0,1.0,1.0,472,1,365,257,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
24148,28455661.0,within a day,0.9,0.46,False,4.0,True,False,Copacabana,-22.98335,-43.19518,Hotel room,2,1.0,1.0,1.0,365,1,1125,86,4,2,4.75,4.25,4.5,4.75,4.25,3.75,4.75,True,4,0.09
