id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,Private room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
42010487,within a few hours,1.00,0.67,False,2,True,False,Itanhangá,-22.99746,-43.29744,Entire home/apt,8,3,4,9,$900.00,5,90,79,4,1,4.5,5,4.75,5,5,5,4.75,False,2,0.23
856351,unknown,0.00,0.00,False,1,True,True,Jardim Botânico,-22.96403,-43.21973,Entire home/apt,4,2,2,2,"$4,000.00",4,1125,365,4,0,5,5,5,5,5,5,4.33,False,1,0.03
32517884,unknown,0.00,0.00,False,1,True,True,Campo Grande,-22.8636,-43.60163,Entire home/apt,12,4,4,6,"$1,000.00",7,1125,179,0,0,,,,,,,,True,1,
49273130,a few days or more,0.00,0.33,False,1,True,True,Grajaú,-22.91992,-43.26457,Private room,1,1,1,1,$51.00,2,15,365,0,0,,,,,,,,True,1,
47023788,within a day,0.50,0.00,False,2,True,False,Pechincha,-22.93593,-43.35882,Entire home/apt,5,2.5,2,3,$400.00,7,100,354,0,0,,,,,,,,True,2,
27397110,unknown,0.00,0.00,False,1,True,False,Guaratiba,-22.99473,-43.61903,Entire home/apt,4,1,1,4,$130.00,10,11,365,0,0,,,,,,,,True,1,
35910637,within an hour,1.00,1.00,True,1,True,True,Jacarepaguá,-22.96872,-43.36516,Entire home/apt,8,2,2,6,$296.00,1,1125,314,120,37,4.93,4.95,4.88,4.88,4.98,4.9,4.85,True,1,3.31
2959624,unknown,0.00,0.00,False,1,True,False,Botafogo,-22.95261,-43.18932,Entire home/apt,4,1.5,2,3,$750.00,6,1125,363,0,0,,,,,,,,False,1,
31901980,within a day,0.80,0.82,False,1,True,True,Grajaú,-22.91903,-43.26863,Private room,2,2,2,2,$56.00,2,15,363,3,0,3,3.67,3.67,4,3,3.67,4,True,2,0.1
17620948,within an hour,0.97,1.00,False,24,True,True,Barra da Tijuca,-23.00434,-43.3422,Entire home/apt,2,1,,1,$250.00,1,1125,356,134,8,4.6,4.77,4.59,4.9,4.78,4.83,4.65,True,28,2.09
