,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
13682,10549548.0,within an hour,1.0,0.86,True,15.0,True,True,Curicica,-22.94895,-43.38318,Shared room,5,0.0,1.0,5.0,120,1,30,177,11,0,5.0,5.0,5.0,5.0,5.0,4.64,4.91,True,16,0.15
13700,52406084.0,within a day,0.6,0.71,False,0.0,True,False,Vidigal,-22.99669,-43.23983,Shared room,2,1.0,1.0,1.0,99,1,30,333,6,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,0.71
13705,6.14e+17,within an hour,1.0,1.0,False,0.0,True,True,EstÃ¡cio,-22.91591,-43.20654,Shared room,2,1.0,1.0,1.0,69,1,30,362,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,4,1.0
13767,44389346.0,unknown,0.0,1.0,False,2.0,True,True,Recreio dos Bandeirantes,-23.02082,-43.52201,Shared room,6,1.0,1.0,2.0,800,1,1125,365,1,0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,True,2,0.04
13924,32028444.0,within an hour,1.0,1.0,False,21.0,True,True,Botafogo,-22.95578,-43.18571,Shared room,1,2.0,1.0,6.0,60,1,365,7,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,12,0.03
13936,11020084.0,within a day,1.0,0.66,True,9.0,True,True,Santa Teresa,-22.91952,-43.18097,Shared room,6,1.0,1.0,6.0,50,2,1125,360,28,10,5.0,5.0,4.96,5.0,5.0,5.0,4.93,False,5,0.36
13966,18979697.0,within an hour,1.0,1.0,False,21.0,True,True,Botafogo,-22.95363,-43.18758,Shared room,1,4.0,1.0,6.0,60,1,365,172,11,2,4.64,4.82,4.64,4.91,4.91,4.91,4.91,True,12,0.19
14345,19912122.0,within an hour,1.0,1.0,False,2.0,True,True,Laranjeiras,-22.93181,-43.18044,Shared room,1,1.0,1.0,1.0,52,1,1125,354,33,14,4.76,4.85,4.7,4.94,4.88,5.0,4.76,True,2,0.61
14349,13809665.0,unknown,0.0,0.0,False,1.0,True,True,Laranjeiras,-22.93188,-43.18266,Shared room,1,1.0,1.0,1.0,272,1,30,363,3,0,4.67,4.0,4.67,5.0,5.0,4.67,4.67,True,1,0.04
14361,43177773.0,within an hour,1.0,1.0,False,7.0,True,True,Centro,-22.91333,-43.17925,Shared room,1,1.0,1.0,1.0,111,1,1125,250,59,51,4.75,4.76,4.44,4.71,4.73,4.88,4.75,True,8,2.71
14365,6.11e+17,within a few hours,0.95,0.39,False,3.0,True,True,JacarepaguÃ¡,-22.96535,-43.39554,Shared room,6,1.0,1.0,6.0,100,1,365,349,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,8,0.0
14440,54082838.0,unknown,0.0,1.0,False,1.0,True,False,Cosme Velho,-22.94378,-43.20546,Shared room,1,3.0,1.0,1.0,90,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,9,0.0
14450,54082988.0,unknown,0.0,1.0,False,1.0,True,False,Cosme Velho,-22.94403,-43.20488,Shared room,1,3.0,1.0,1.0,90,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,9,0.0
14473,54082938.0,unknown,0.0,1.0,False,1.0,True,False,Cosme Velho,-22.94413,-43.20678,Shared room,1,3.0,1.0,1.0,90,1,365,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,9,0.0
14529,41189275.0,within an hour,1.0,0.99,False,6.0,True,False,Flamengo,-22.92645,-43.17487,Shared room,1,1.0,1.0,1.0,63,1,90,156,6,4,5.0,5.0,5.0,4.83,4.83,5.0,5.0,True,7,0.2
14560,53798110.0,within an hour,1.0,1.0,False,5.0,True,False,Engenho Novo,-22.90609,-43.26969,Shared room,16,4.0,1.0,16.0,51,1,365,363,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,8,0.35
14659,33358092.0,within an hour,1.0,0.88,False,5.0,True,False,JacarepaguÃ¡,-22.97358,-43.41162,Shared room,6,1.0,1.0,8.0,179,1,30,357,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,0.03
14670,39943886.0,within a few hours,0.8,0.8,False,0.0,True,True,JacarepaguÃ¡,-22.97433,-43.4103,Shared room,7,1.0,1.0,6.0,186,1,1125,358,1,0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,False,4,0.03
14761,11054380.0,within a day,1.0,0.83,False,6.0,True,True,Santa Teresa,-22.92451,-43.19044,Shared room,4,2.0,1.0,1.0,90,2,1125,365,3,0,4.67,5.0,5.0,4.67,5.0,4.33,5.0,False,5,0.04
14764,14215814.0,within a day,1.0,0.83,False,6.0,True,True,Santa Teresa,-22.92403,-43.19062,Shared room,4,2.0,1.0,1.0,120,2,1125,365,4,0,4.5,5.0,4.5,5.0,5.0,3.75,5.0,False,5,0.06
14773,41323165.0,a few days or more,0.0,0.0,False,0.0,True,False,Rio Comprido,-22.92685,-43.20932,Shared room,4,1.0,1.0,1.0,800,1,1125,180,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
14872,44119856.0,a few days or more,0.0,0.0,False,1.0,True,False,Camorim,-22.97516,-43.41495,Shared room,2,1.0,1.0,0.0,81,30,30,179,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,1,0.0
15072,11031580.0,a few days or more,0.0,0.0,False,1.0,True,False,Barra da Tijuca,-23.01019,-43.31939,Shared room,2,1.0,1.0,1.0,490,1,1125,359,7,0,4.86,4.86,4.71,5.0,4.86,5.0,4.57,False,1,0.09
15101,33574524.0,within a day,0.7,0.8,False,5.0,True,False,Copacabana,-22.96667,-43.19093,Shared room,2,1.0,1.0,2.0,150,5,1125,263,2,0,3.5,3.0,3.5,5.0,3.5,5.0,3.0,False,2,0.06
15120,48693338.0,within a few hours,0.96,0.99,False,1.0,True,True,Tijuca,-22.92464,-43.21961,Shared room,1,3.0,1.0,1.0,55,1,1125,125,13,12,4.62,4.77,4.77,4.92,4.77,4.85,4.69,True,7,0.85
15148,4631856.0,within a day,0.86,0.78,False,6.0,True,True,Urca,-22.95336,-43.1732,Shared room,8,2.5,1.0,4.0,75,5,1125,344,7,0,4.71,4.86,4.71,4.86,4.86,4.71,4.57,False,6,0.09
15227,37805403.0,within a day,1.0,0.0,False,0.0,True,False,IrajÃ¡,-22.84853,-43.3297,Shared room,2,2.0,1.0,1.0,90,1,30,180,14,0,4.93,4.86,4.86,4.5,4.93,4.79,5.0,True,1,0.41
15283,12932572.0,unknown,0.0,0.0,False,1.0,True,False,Rocha,-22.90168,-43.2459,Shared room,2,1.0,1.0,2.0,413,1,15,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,1,0.0
15294,34570322.0,within a day,0.67,0.67,False,5.0,True,False,MaracanÃ£,-22.91427,-43.23211,Shared room,5,1.0,1.0,5.0,85,1,1125,361,1,0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,True,6,0.03
15485,14357808.0,unknown,0.0,0.0,False,2.0,True,False,Recreio dos Bandeirantes,-23.02154,-43.46712,Shared room,2,1.0,1.0,1.0,500,1,1125,89,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,True,2,0.0
15487,11539344.0,within a day,0.9,1.0,False,11.0,True,True,JacarepaguÃ¡,-22.9641,-43.40589,Shared room,4,1.0,1.0,4.0,120,4,1125,359,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,11,0.03
15507,11085173.0,within a day,0.9,1.0,False,11.0,True,True,JacarepaguÃ¡,-22.96454,-43.40303,Shared room,3,1.0,1.0,3.0,120,1,1125,359,9,0,4.89,5.0,4.89,4.89,5.0,4.33,4.78,True,11,0.13
15530,11085641.0,within a day,0.9,1.0,False,11.0,True,True,JacarepaguÃ¡,-22.96389,-43.40306,Shared room,5,1.0,1.0,5.0,120,2,1125,358,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,11,0.03
15580,4858441.0,within an hour,0.83,0.33,False,5.0,True,False,Leme,-22.9608,-43.17165,Shared room,8,2.0,1.0,6.0,55,1,1125,365,2,0,4.5,4.5,4.0,4.0,4.0,5.0,4.5,False,5,0.02
16045,53680716.0,within an hour,1.0,0.98,False,7.0,True,True,Santa Teresa,-22.91441,-43.18086,Shared room,13,2.5,1.0,14.0,64,1,365,352,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,6,0.88
16048,14419789.0,unknown,0.0,0.0,False,5.0,True,False,Barra da Tijuca,-23.01251,-43.31348,Shared room,6,2.0,1.0,6.0,361,2,20,89,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
16102,41776365.0,a few days or more,0.0,0.0,False,2.0,True,False,Portuguesa,-22.8016,-43.21072,Shared room,4,2.5,1.0,4.0,109,1,1125,365,0,0,4.68,4.79,4.7,4.87,4.85,4.86,4.67,False,2,0.0
