,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
19350,6e+17,within an hour,1.0,1.0,False,0,True,True,Ãlvaro ObregÃ³n,19.37412,-99.19558,Private room,2,1.5,1.0,1.0,251.0,1,365,216,6,6,4.33,4.67,4.5,4.67,4.5,4.33,4.5,True,4,2.69
19351,6e+17,within a few hours,1.0,1.0,False,0,True,False,Gustavo A. Madero,19.45815,-99.06787,Private room,2,1.0,2.0,1.0,815.0,1,28,363,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,8,1.0
19353,6e+17,within an hour,1.0,0.95,False,14,True,True,Venustiano Carranza,19.4381,-99.08486,Private room,2,2.5,1.0,1.0,202.0,1,365,355,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,14,0.0
19356,5.98e+17,within a few hours,1.0,0.75,False,0,False,False,Benito JuÃ¡rez,19.36938,-99.15936,Private room,2,1.0,1.0,1.0,490.0,1,365,80,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,1,1.0
19358,6.03e+17,within an hour,0.94,0.98,False,0,True,True,CuauhtÃ©moc,19.42856,-99.17119,Private room,2,1.0,1.0,1.0,720.0,1,365,361,1,1,5.0,4.0,5.0,5.0,3.0,5.0,3.0,True,18,0.5
19362,6e+17,within an hour,1.0,0.93,False,0,True,True,Venustiano Carranza,19.41374,-99.09385,Private room,2,1.5,1.0,2.0,500.0,1,365,344,5,5,5.0,5.0,4.8,5.0,5.0,5.0,5.0,True,1,3.26
19365,6.01e+17,within an hour,0.94,0.98,False,0,True,True,CuauhtÃ©moc,19.427774,-99.173447,Private room,2,1.0,1.0,1.0,543.0,1,365,359,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,18,0.0
19367,6.01e+17,within an hour,0.94,0.98,False,0,True,True,CuauhtÃ©moc,19.427774,-99.173447,Private room,2,1.0,1.0,1.0,607.0,1,365,362,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,18,0.0
19368,6.01e+17,within a day,0.5,1.0,False,0,True,True,CuauhtÃ©moc,19.45259,-99.13755,Private room,2,1.0,1.0,1.0,500.0,1,365,364,1,1,3.0,3.0,3.0,5.0,5.0,5.0,3.0,True,1,1.0
19369,6.03e+17,within an hour,0.94,0.98,False,0,True,True,CuauhtÃ©moc,19.429745,-99.171501,Private room,2,1.0,1.0,1.0,807.0,1,365,363,2,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,True,18,1.18
19370,5.98e+17,a few days or more,0.33,0.33,False,0,False,False,Ãlvaro ObregÃ³n,19.346186,-99.186096,Private room,2,1.0,1.0,2.0,1500.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19371,6.03e+17,within an hour,0.94,0.98,False,0,True,True,CuauhtÃ©moc,19.429745,-99.171501,Private room,2,1.0,1.0,1.0,800.0,1,365,361,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,18,0.44
19372,6.03e+17,within an hour,1.0,1.0,False,0,True,True,Miguel Hidalgo,19.43776,-99.19347,Private room,2,1.5,1.0,2.0,700.0,1,365,0,2,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,2,1.0
19375,5.98e+17,within an hour,1.0,1.0,False,14,True,True,CuauhtÃ©moc,19.40414,-99.16149,Private room,2,1.0,1.0,1.0,530.0,1,1125,335,12,12,4.33,4.42,4.08,4.67,4.83,4.58,4.58,True,3,6.67
19379,6.01e+17,within a few hours,0.88,0.0,False,0,True,True,CuauhtÃ©moc,19.434786,-99.127403,Private room,9,2.5,4.0,3.0,830.0,2,23,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,2,0.0
19381,6.01e+17,within an hour,1.0,1.0,False,0,True,False,CuauhtÃ©moc,19.40964,-99.17121,Private room,2,1.0,1.0,1.0,989.0,1,365,167,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,6,0.0
19383,6.01e+17,within an hour,1.0,1.0,False,0,True,False,CuauhtÃ©moc,19.40844,-99.17312,Private room,2,1.0,1.0,1.0,1985.0,1,365,168,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,6,0.0
19392,6.01e+17,within an hour,1.0,1.0,True,22,True,True,Miguel Hidalgo,19.434635,-99.208107,Private room,4,1.0,1.0,2.0,999.0,1,180,357,16,16,4.75,4.75,4.94,4.88,4.94,4.94,4.63,True,19,7.16
19393,6.01e+17,within an hour,1.0,1.0,True,22,True,True,Miguel Hidalgo,19.434635,-99.208107,Private room,2,1.0,1.0,1.0,554.0,1,180,354,6,6,5.0,5.0,4.83,5.0,5.0,5.0,5.0,True,19,2.69
19395,6.01e+17,within an hour,1.0,1.0,True,22,True,True,Miguel Hidalgo,19.434635,-99.208107,Private room,2,1.0,1.0,1.0,610.0,1,180,361,3,3,5.0,5.0,4.67,4.67,5.0,5.0,4.67,True,19,1.32
19397,6.01e+17,within an hour,1.0,1.0,True,1,True,True,Venustiano Carranza,19.439045,-99.079597,Private room,1,1.0,1.0,1.0,290.0,1,28,85,25,25,4.76,4.84,4.84,4.88,4.88,4.76,4.84,True,4,11.54
19398,6.01e+17,within a few hours,1.0,1.0,False,1,True,True,CoyoacÃ¡n,19.354567,-99.157217,Private room,3,1.0,1.0,2.0,301.0,1,1125,351,17,17,4.47,4.41,4.65,4.53,4.41,4.76,4.53,False,1,7.18
19400,6.01e+17,within a day,0.67,0.0,False,0,True,True,CuauhtÃ©moc,19.42879,-99.156,Private room,1,1.0,1.0,1.0,320.0,1,365,293,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,1,0.0
19402,6.01e+17,within an hour,1.0,1.0,False,5,True,True,Venustiano Carranza,19.4454,-99.08834,Private room,1,1.0,1.0,1.0,260.0,1,365,365,0,0,4.7,4.78,4.75,4.83,4.81,4.84,4.72,True,4,0.0
19404,6.03e+17,within an hour,1.0,1.0,True,1,True,True,CoyoacÃ¡n,19.342794,-99.181641,Private room,1,1.0,1.0,1.0,276.0,1,365,69,25,25,5.0,5.0,4.92,5.0,5.0,5.0,4.92,True,1,12.1
19411,6.03e+17,within an hour,1.0,1.0,False,0,True,True,CuauhtÃ©moc,19.41675,-99.16814,Private room,2,1.0,1.0,1.0,447.0,2,365,301,12,12,4.33,4.5,4.42,4.25,4.25,4.67,4.5,True,3,5.63
