id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathroom_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
47941953,within an hour,0.8,0.94,t,0,t,f,Miguel Hidalgo,19.44554,-99.17093,Entire home/apt,4,1,2,2,$509.00,4,60,140,21,17,4.71,4.71,4.71,4.95,4.81,4.67,4.43,f,1,1.34
48182131,within an hour,1,0.98,t,0,t,t,Cuauhtémoc,19.4164,-99.1653,Entire home/apt,2,1,1,1,"$1,548.00",3,60,144,50,43,4.9,4.98,5,4.96,4.96,4.86,4.86,f,5,3.17
48182410,within a few hours,1,0.96,f,3,t,t,Cuauhtémoc,19.43164,-99.13762,Entire home/apt,3,1,1,1,$700.00,2,1125,302,29,24,4.48,4.69,4.31,4.59,4.48,4.9,4.69,f,3,2.07
48092577,N/A,N/A,1,t,1,t,t,Cuajimalpa de Morelos,19.35772,-99.27301,Entire home/apt,4,1.5,1,1,"$1,988.00",1,1125,261,34,23,4.85,4.79,4.91,4.76,4.91,4.88,4.76,f,1,2.23
47942694,within a day,0.6,0.48,f,1,t,t,Benito Juárez,19.36988,-99.14675,Entire home/apt,3,2,2,2,$550.00,2,1125,291,7,4,4.86,5,5,5,5,5,5,f,1,0.42
48093037,within an hour,1,1,f,4,t,t,Miguel Hidalgo,19.43677,-99.20467,Private room,2,1,1,1,"$1,068.00",1,365,358,9,8,4.11,4.67,4.67,4.89,4.33,4.89,4.22,t,4,0.55
48182955,within an hour,0.92,0.93,f,2,t,t,Benito Juárez,19.38104,-99.15152,Entire home/apt,10,1,4,4,"$1,623.00",2,1125,172,5,4,4.4,5,4.6,4.8,5,4.8,4.4,t,3,0.34
47942833,within an hour,1,1,t,4,t,t,Benito Juárez,19.3963,-99.17721,Entire home/apt,2,1,1,1,"$1,030.00",7,31,35,9,4,4.89,5,4.78,5,5,5,5,f,5,0.55
48183858,within a few hours,1,0.94,t,2,t,f,Venustiano Carranza,19.44012,-99.09057,Entire home/apt,2,1,1,1,$449.00,2,1125,175,10,8,4.8,4.8,4.8,4.8,4.9,4.5,4.6,f,2,0.63
48184905,within an hour,1,0.99,t,3,t,t,Cuauhtémoc,19.43557,-99.14399,Entire home/apt,3,1,1,2,"$1,086.00",1,1125,84,21,9,4.95,4.95,4.95,4.95,5,4.95,4.9,t,3,1.33
48093466,within an hour,1,1,f,4,t,t,Miguel Hidalgo,19.43633,-99.20349,Private room,2,1,1,1,$865.00,1,365,352,5,4,4,4.2,4.4,4.8,4.8,4.8,4,t,4,0.39
