VarName1,ID,host_response_time,host_response_rate,host_acceptance_rate,hosTrue_is_superhost,host_has_profile_pic,host_identity_verified,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
1317,13883460,a few days or more,0,0,False,True,False,6,Ñuñoa,-33.4644,-70.58234,Private room,1,6,1,1,22013,1,5,364,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1318,13909942,a few days or more,0,0,False,True,False,1,Providencia,-33.43056,-70.60727,Private room,2,1,1,2,25000,1,5,88,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1321,15187825,within an hour,1,0.5,False,True,True,1,Ñuñoa,-33.44953,-70.62112,Private room,1,1,1,1,150000,6,30,365,4,0,4,4,5,4.25,4.25,4.75,4.25,True,1,0.06
1325,13943766,within an hour,1,1,False,True,False,1,Providencia,-33.42704,-70.6065,Private room,2,1,1,1,38824,2,30,89,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1335,15212909,within an hour,1,0,False,True,True,2,Providencia,-33.44008,-70.60648,Private room,1,2,1,1,23775,3,30,177,3,0,5,4.5,3.5,5,5,5,5,False,1,0.04
1337,15255803,a few days or more,0,0,False,True,False,1,Las Condes,-33.41935,-70.57651,Private room,1,1,1,1,22000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1343,15269966,within an hour,1,1,False,True,True,1,Las Condes,-33.38034,-70.50088,Private room,2,1,2,3,28934,2,36,179,3,1,4,4.33,5,5,4.67,4.33,4.67,True,1,0.05
1344,15271823,within a few hours,0.6,0,False,True,False,1,Las Condes,-33.42454,-70.54906,Private room,1,1,1,1,15000,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1345,15289515,within a day,1,1,False,True,True,1,Santiago,-33.43212,-70.67819,Private room,1,1,1,1,10500,4,30,172,21,2,4.95,4.95,4.86,4.9,4.95,4.65,4.85,True,1,0.31
1348,14590226,Unknown,0,0,False,True,False,1,Macul,-33.48716,-70.59703,Private room,1,1,3,3,52000,3,30,363,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1349,14612586,a few days or more,0,1,False,True,False,1,Providencia,-33.4336,-70.62434,Private room,1,1,1,1,30000,1,30,363,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,True,1,0
1351,15321102,within an hour,1,0.6,False,True,False,3,La Reina,-33.43899,-70.57103,Private room,1,3,1,1,15000,4,30,0,3,2,4.33,4,4.33,4.33,4.33,4.33,4.33,False,4,0.05
1354,13979203,within an hour,1,0.93,False,True,True,1,Providencia,-33.44278,-70.60604,Private room,1,1,1,1,10000,6,60,225,63,16,4.9,4.92,4.97,4.92,4.98,4.92,4.98,True,1,0.88
1355,15339176,a few days or more,0,0,False,True,False,1,Las Condes,-33.42453,-70.58517,Private room,1,1,1,1,24655,1,30,365,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1358,15343571,Unknown,0,0,False,True,False,1,Providencia,-33.42867,-70.61289,Private room,1,1,1,3,25000,2,30,362,0,0,4.5,4.7,4.6,4.8,4.8,4.8,4.6,False,1,0
1360,14688061,Unknown,0,1,False,True,True,1,Santiago,-33.44026,-70.67221,Private room,1,1,1,1,13710,1,15,0,4,0,5,5,5,5,5,4.75,4.75,False,1,0.06
1361,13990115,Unknown,0,0.86,False,True,True,3,Las Condes,-33.41505,-70.60428,Private room,1,3,1,1,35222,1,30,2,47,2,4.91,4.87,4.85,4.84,4.77,5,4.73,False,2,0.66
